NOMBRE_BARRIO,CANTIDAD
SOTAVENTO,1721
SUBA CERROS,2460
SUBA URBANO,4303
SUCRE,5232
SUMAPAZ,1470
SURAMERICA,474
TABORA,1878
TAIRONA,318
TAQUECITOS,54
TECHO,2624
TEJAR,946
TERMINAL DE TRANSPORTES,1690
TEUSAQUILLO,1533
TIBABITA,5623
TIBABITA RURAL,62
TIBABITA RURAL I,321
TIBABUYES,14426
TIBABUYES II,5953
TIBABUYES OCCIDENTAL,2157
TIBABUYES UNIVERSAL,1955
TIBANA,3149
TIBAQUE,100
TIBAQUE I,2
TIBAQUE II,339
TIBAQUE RURAL,1
TIBAQUE SUR,3
TIBAQUE URBANO,1577
TIHUAQUE,975
TIHUAQUE RURAL,8
TIMIZA,1602
TIMIZA A,4238
TIMIZA B,3330
TIMIZA C,1304
TINTALA,27462
TINTALITO,715
TOCAIMITA ORIENTAL,290
TOCAIMITA ORIENTAL I,141
TOCAIMITA SUR,2
TOCAREMA,1988
TORCA,4
TORCA I,36
TORCA II,67
TORCA RURAL I,122
TORCA RURAL II,226
TOSCANA,2461
TTES DE COLOMBIA,951
TUNA,4
TUNA ALTA,3905
TUNA BAJA,5525
TUNA RURAL,309
TUNAL ALTO,75
TUNAL BAJO,39
TUNAL ORIENTAL,9682
TUNDAMA,552
TUNJUELITO,1768
USAQUEN,3311
USATAMA,1339
USMINIA,1347
VALLADOLID,5338
VEINTE DE JULIO,2639
VELODROMO,2947
VENECIA,2253
VENECIA OCCIDENTAL,1344
VERACRUZ,9099
VERAGUAS,1086
VERBENAL SAN ANTONIO,2803
VEREDA CENTRO ENGATIVA,1
VEREDA EL TINTAL,17
VEREDA EL TINTAL RURAL,72
VEREDA EL TINTAL URBANO,3154
VEREDA SUBA CERROS II,921
VEREDA SUBA NARANJOS,1908
VERGEL OCCIDENTAL,2893
VERONA,2793
VERSALLES FONTIBON,2690
VICTORIA NORTE,8921
VILLA ALCAZAR,2250
VILLA ALSACIA,9229
VILLA ALSACIA II,2014
VILLA AMALIA,2101
VILLA ANITA,654
VILLA ANITA SUR,1
VILLA ANNY,2
VILLA ANNY I,2865
VILLA ANNY II,591
VILLA CANDELARIA,1495
VILLA CARMENZA,561
VILLA DE LOS ALPES,1804
VILLA DE LOS ALPES I,1514
"VILLA DEL CAMPO, ALASKA-SUBA",10
VILLA DEL CERRO,1146
VILLA DEL MAR,3772
VILLA DEL PRADO,2690
VILLA DEL RIO,3391
VILLA DIANA,1365
VILLA ELISA,6540
VILLA EMMA,80
VILLA GLADYS,2715
VILLA GLORIA,1444
VILLA HERMOSA,921
VILLA ISRAEL,1281
VILLA LUZ,2406
VILLA MARIA,2193
VILLA MARIA I,1757
VILLA MAYOR,1696
VILLA MAYOR ORIENTAL,2114
VILLA NELLY III SECTOR,507
VILLA SAGRARIO,348
VILLABEL,327
VILLAS DE ALCALA,7191
VILLAS DE GRANADA,2460
VILLAS DE GRANADA I,3425
VILLAS DEL PROGRESO,1999
VILLAS EL DIAMANTE,573
VILLEMAR,3436
VISION DE ORIENTE,725
VITELMA,1839
VOTO NACIONAL,2486
YOMASA,1070
YOMASA NORTE,8
ZONA FRANCA,2266
